contest,title,english_title,rating,url
第 30 场双周赛,转变日期格式,Reformat Date,1283.51021448,https://leetcode.cn/problems/reformat-date/
第 30 场双周赛,子数组和排序后的区间和,Range Sum of Sorted Subarray Sums,1402.0863615706,https://leetcode.cn/problems/range-sum-of-sorted-subarray-sums/
第 30 场双周赛,三次操作后最大值与最小值的最小差,Minimum Difference Between Largest and Smallest Value in Three Moves,1653.0356626499,https://leetcode.cn/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves/
第 30 场双周赛,石子游戏 IV,Stone Game IV,1786.9268132617,https://leetcode.cn/problems/stone-game-iv/
第 196 场周赛,判断能否形成等差数列,Can Make Arithmetic Progression From Sequence,1154.828067979,https://leetcode.cn/problems/can-make-arithmetic-progression-from-sequence/
第 196 场周赛,所有蚂蚁掉下来前的最后一刻,Last Moment Before All Ants Fall Out of a Plank,1618.6016480451,https://leetcode.cn/problems/last-moment-before-all-ants-fall-out-of-a-plank/
第 196 场周赛,统计全 1 子矩形,Count Submatrices With All Ones,1845.0428731248,https://leetcode.cn/problems/count-submatrices-with-all-ones/
第 196 场周赛,最多 K 次交换相邻数位后得到的最小整数,Minimum Possible Integer After at Most K Adjacent Swaps On Digits,2336.5210003185,https://leetcode.cn/problems/minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits/
第 195 场周赛,判断路径是否相交,Path Crossing,1508.099765827,https://leetcode.cn/problems/path-crossing/
第 195 场周赛,检查数组对是否可以被 k 整除,Check If Array Pairs Are Divisible by k,1787.2310751136,https://leetcode.cn/problems/check-if-array-pairs-are-divisible-by-k/
第 195 场周赛,满足条件的子序列数目,Number of Subsequences That Satisfy the Given Sum Condition,2276.4233585631,https://leetcode.cn/problems/number-of-subsequences-that-satisfy-the-given-sum-condition/
第 195 场周赛,满足不等式的最大值,Max Value of Equation,2456.3900212097,https://leetcode.cn/problems/max-value-of-equation/
第 29 场双周赛,去掉最低工资和最高工资后的工资平均值,Average Salary Excluding the Minimum and Maximum Salary,1201.3497763919,https://leetcode.cn/problems/average-salary-excluding-the-minimum-and-maximum-salary/
第 29 场双周赛,n 的第 k 个因子,The kth Factor of n,1231.999241335,https://leetcode.cn/problems/the-kth-factor-of-n/
第 29 场双周赛,删掉一个元素以后全为 1 的最长子数组,Longest Subarray of 1's After Deleting One Element,1423.0355763093,https://leetcode.cn/problems/longest-subarray-of-1s-after-deleting-one-element/
第 29 场双周赛,并行课程 II,Parallel Courses II,2081.8087755451,https://leetcode.cn/problems/parallel-courses-ii/
第 194 场周赛,数组异或操作,XOR Operation in an Array,1180.923623906,https://leetcode.cn/problems/xor-operation-in-an-array/
第 194 场周赛,保证文件名唯一,Making File Names Unique,1696.9920075471,https://leetcode.cn/problems/making-file-names-unique/
第 194 场周赛,避免洪水泛滥,Avoid Flood in The City,1973.7407637067,https://leetcode.cn/problems/avoid-flood-in-the-city/
第 194 场周赛,找到最小生成树里的关键边和伪关键边,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,2571.552028121,https://leetcode.cn/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree/
第 193 场周赛,一维数组的动态和,Running Sum of 1d Array,1104.7359028407,https://leetcode.cn/problems/running-sum-of-1d-array/
第 193 场周赛,不同整数的最少数目,Least Number of Unique Integers after K Removals,1284.3625733813,https://leetcode.cn/problems/least-number-of-unique-integers-after-k-removals/
第 193 场周赛,制作 m 束花所需的最少天数,Minimum Number of Days to Make m Bouquets,1945.5095833982,https://leetcode.cn/problems/minimum-number-of-days-to-make-m-bouquets/
第 193 场周赛,树节点的第 K 个祖先,Kth Ancestor of a Tree Node,2115.0911494487,https://leetcode.cn/problems/kth-ancestor-of-a-tree-node/
第 28 场双周赛,商品折扣后的最终价格,Final Prices With a Special Discount in a Shop,1212.2606422181,https://leetcode.cn/problems/final-prices-with-a-special-discount-in-a-shop/
第 28 场双周赛,子矩形查询,Subrectangle Queries,1326.4047670018,https://leetcode.cn/problems/subrectangle-queries/
第 28 场双周赛,找两个和为目标值且不重叠的子数组,Find Two Non-overlapping Sub-arrays Each With Target Sum,1850.5506342426,https://leetcode.cn/problems/find-two-non-overlapping-sub-arrays-each-with-target-sum/
第 28 场双周赛,安排邮筒,Allocate Mailboxes,2190.1757477854,https://leetcode.cn/problems/allocate-mailboxes/
第 192 场周赛,重新排列数组,Shuffle the Array,1120.698183624,https://leetcode.cn/problems/shuffle-the-array/
第 192 场周赛,数组中的 k 个最强值,The k Strongest Values in an Array,1332.4653491345,https://leetcode.cn/problems/the-k-strongest-values-in-an-array/
第 192 场周赛,设计浏览器历史记录,Design Browser History,1453.7818053022,https://leetcode.cn/problems/design-browser-history/
第 192 场周赛,粉刷房子 III,Paint House III,2056.335494216,https://leetcode.cn/problems/paint-house-iii/
第 191 场周赛,数组中两元素的最大乘积,Maximum Product of Two Elements in an Array,1121.0677596555,https://leetcode.cn/problems/maximum-product-of-two-elements-in-an-array/
第 191 场周赛,切割后面积最大的蛋糕,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,1444.6098846511,https://leetcode.cn/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/
第 191 场周赛,重新规划路线,Reorder Routes to Make All Paths Lead to the City Zero,1633.6202302555,https://leetcode.cn/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero/
第 191 场周赛,两个盒子中球的颜色数相同的概率,Probability of a Two Boxes Having The Same Number of Distinct Balls,2356.5811122453,https://leetcode.cn/problems/probability-of-a-two-boxes-having-the-same-number-of-distinct-balls/
第 27 场双周赛,通过翻转子数组使两个数组相等,Make Two Arrays Equal by Reversing Subarrays,1151.5250329621,https://leetcode.cn/problems/make-two-arrays-equal-by-reversing-subarrays/
第 27 场双周赛,检查一个字符串是否包含所有长度为 K 的二进制子串,Check If a String Contains All Binary Codes of Size K,1504.0178888667,https://leetcode.cn/problems/check-if-a-string-contains-all-binary-codes-of-size-k/
第 27 场双周赛,课程表 IV,Course Schedule IV,1692.5884631801,https://leetcode.cn/problems/course-schedule-iv/
第 27 场双周赛,摘樱桃 II,Cherry Pickup II,1956.7059585934,https://leetcode.cn/problems/cherry-pickup-ii/
第 190 场周赛,检查单词是否为句中其他单词的前缀,Check If a Word Occurs As a Prefix of Any Word in a Sentence,1125.575238274,https://leetcode.cn/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence/
第 190 场周赛,定长子串中元音的最大数目,Maximum Number of Vowels in a Substring of Given Length,1263.2728668041,https://leetcode.cn/problems/maximum-number-of-vowels-in-a-substring-of-given-length/
第 190 场周赛,二叉树中的伪回文路径,Pseudo-Palindromic Paths in a Binary Tree,1405.0021415178,https://leetcode.cn/problems/pseudo-palindromic-paths-in-a-binary-tree/
第 190 场周赛,两个子序列的最大点积,Max Dot Product of Two Subsequences,1823.5831437787,https://leetcode.cn/problems/max-dot-product-of-two-subsequences/
第 189 场周赛,在既定时间做作业的学生人数,Number of Students Doing Homework at a Given Time,1129.3432988996,https://leetcode.cn/problems/number-of-students-doing-homework-at-a-given-time/
第 189 场周赛,重新排列句子中的单词,Rearrange Words in a Sentence,1309.3113721825,https://leetcode.cn/problems/rearrange-words-in-a-sentence/
第 189 场周赛,收藏清单,People Whose List of Favorite Companies Is Not a Subset of Another List,1562.9186033202,https://leetcode.cn/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list/
第 189 场周赛,圆形靶内的最大飞镖数量,Maximum Number of Darts Inside of a Circular Dartboard,2201.8209584221,https://leetcode.cn/problems/maximum-number-of-darts-inside-of-a-circular-dartboard/
第 26 场双周赛,连续字符,Consecutive Characters,1165.4768151611,https://leetcode.cn/problems/consecutive-characters/
第 26 场双周赛,最简分数,Simplified Fractions,1268.5768566953,https://leetcode.cn/problems/simplified-fractions/
第 26 场双周赛,统计二叉树中好节点的数目,Count Good Nodes in Binary Tree,1360.2184128413,https://leetcode.cn/problems/count-good-nodes-in-binary-tree/
第 26 场双周赛,数位成本和为目标值的最大数字,Form Largest Integer With Digits That Add up to Target,1927.4000816649,https://leetcode.cn/problems/form-largest-integer-with-digits-that-add-up-to-target/
第 188 场周赛,用栈操作构建数组,Build an Array With Stack Operations,1180.3543157775,https://leetcode.cn/problems/build-an-array-with-stack-operations/
第 188 场周赛,形成两个异或相等数组的三元组数目,Count Triplets That Can Form Two Arrays of Equal XOR,1524.5693481538,https://leetcode.cn/problems/count-triplets-that-can-form-two-arrays-of-equal-xor/
第 188 场周赛,收集树上所有苹果的最少时间,Minimum Time to Collect All Apples in a Tree,1682.8882177724,https://leetcode.cn/problems/minimum-time-to-collect-all-apples-in-a-tree/
第 188 场周赛,切披萨的方案数,Number of Ways of Cutting a Pizza,2126.6864346508,https://leetcode.cn/problems/number-of-ways-of-cutting-a-pizza/
第 187 场周赛,旅行终点站,Destination City,1192.3167969426,https://leetcode.cn/problems/destination-city/
第 187 场周赛,是否所有 1 都至少相隔 k 个元素,Check If All 1's Are at Least Length K Places Away,1193.2687290573,https://leetcode.cn/problems/check-if-all-1s-are-at-least-length-k-places-away/
第 187 场周赛,绝对差不超过限制的最长连续子数组,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,1672.1678031263,https://leetcode.cn/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/
